datetime,ticker,price
2026-03-15 15:59:41.182292,7011.T,4745.0
2026-03-15 15:59:41.182292,8035.T,38340.0
2026-03-15 17:04:58.395594,4568.T,2818.5
2026-03-15 17:04:58.395594,7011.T,4745.0
2026-03-15 17:04:58.395594,8035.T,38340.0
2026-03-15 18:00:14.468586,4568.T,2818.5
2026-03-15 18:00:14.468586,7011.T,4745.0
2026-03-15 18:00:14.468586,8035.T,38340.0
2026-03-15 19:44:25.176864,4568.T,2818.5
2026-03-15 19:44:25.176864,7011.T,4745.0
2026-03-15 19:44:25.176864,8035.T,38340.0
2026-03-15 20:57:19.566393,4568.T,2818.5
2026-03-15 20:57:19.566393,7011.T,4745.0
2026-03-15 20:57:19.566393,8035.T,38340.0
2026-03-15 21:57:50.195865,4568.T,2818.5
2026-03-15 21:57:50.195865,7011.T,4745.0
2026-03-15 21:57:50.195865,8035.T,38340.0
2026-03-15 23:03:36.239208,4568.T,2818.5
2026-03-15 23:03:36.239208,7011.T,4745.0
2026-03-15 23:03:36.239208,8035.T,38340.0
2026-03-15 23:59:16.583126,4568.T,2818.5
2026-03-15 23:59:16.583126,7011.T,4745.0
2026-03-15 23:59:16.583126,8035.T,38340.0
2026-03-16 06:08:01.511165,4568.T,2784.5
2026-03-16 06:08:01.511165,7011.T,4767.0
2026-03-16 06:08:01.511165,8035.T,39040.0
2026-03-16 09:48:31.281304,4568.T,2773.5
2026-03-16 09:48:31.281304,7011.T,4792.0
2026-03-16 09:48:31.281304,8035.T,39150.0
2026-03-16 12:06:34.827138,4568.T,2773.5
2026-03-16 12:06:34.827138,7011.T,4792.0
2026-03-16 12:06:34.827138,8035.T,39150.0
2026-03-16 15:48:49.324647,4568.T,2773.5
2026-03-16 15:48:49.324647,7011.T,4792.0
2026-03-16 15:48:49.324647,8035.T,39150.0
2026-03-16 19:43:01.318036,4568.T,2773.5
2026-03-16 19:43:01.318036,7011.T,4792.0
2026-03-16 19:43:01.318036,8035.T,39150.0
2026-03-16 21:56:14.450453,4568.T,2773.5
2026-03-16 21:56:14.450453,7011.T,4792.0
2026-03-16 21:56:14.450453,8035.T,39150.0
2026-03-16 23:46:05.388005,4568.T,2773.5
2026-03-16 23:46:05.388005,7011.T,4792.0
2026-03-16 23:46:05.388005,8035.T,39150.0
2026-03-17 05:25:10.749351,4568.T,2969.0
2026-03-17 05:25:10.749351,7011.T,4916.0
2026-03-17 05:25:10.749351,8035.T,39080.0
2026-03-17 08:06:16.393366,4568.T,2938.0
2026-03-17 08:06:16.393366,7011.T,4881.0
2026-03-17 08:06:16.393366,8035.T,38780.0
2026-03-17 11:11:22.078552,4568.T,2938.0
